date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:07:41	394/394	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2016%20Oct%202023%2022:07:41%20GMT	https://whenworldscollide.my.canva.site/robots.txt		(from )
00:07:42	896731/896731	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Oct%202023%2022:07:42%20GMT	https://whenworldscollide.my.canva.site/	C:/Downloaded%20Web%20Sites/Worldscollide/WorldsCollide/whenworldscollide.my.canva.site/index.html	(from )
00:07:44	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2016%20Oct%202023%2022:07:42%20GMT	http://whenworldscollide.my.canva.site/26387fa4f5b1e3f7b6217b27d79bf264.png	C:/Downloaded%20Web%20Sites/Worldscollide/WorldsCollide/whenworldscollide.my.canva.site/26387fa4f5b1e3f7b6217b27d79bf264.0.delayed	(from https://whenworldscollide.my.canva.site/)
00:07:44	510/510	---M--	200	added ('OK')	image/png	date:Mon,%2016%20Oct%202023%2022:07:44%20GMT	https://whenworldscollide.my.canva.site/26387fa4f5b1e3f7b6217b27d79bf264.png	C:/Downloaded%20Web%20Sites/Worldscollide/WorldsCollide/whenworldscollide.my.canva.site/26387fa4f5b1e3f7b6217b27d79bf264.png	(from https://whenworldscollide.my.canva.site/)
00:07:44	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2016%20Oct%202023%2022:07:44%20GMT	http://whenworldscollide.my.canva.site/2d0b56e7e51cf11036ad8734bdb67e2d.png	C:/Downloaded%20Web%20Sites/Worldscollide/WorldsCollide/whenworldscollide.my.canva.site/2d0b56e7e51cf11036ad8734bdb67e2d.png	(from https://whenworldscollide.my.canva.site/)
00:07:44	1053/1053	---M--	200	added ('OK')	image/png	date:Mon,%2016%20Oct%202023%2022:07:45%20GMT	https://whenworldscollide.my.canva.site/2d0b56e7e51cf11036ad8734bdb67e2d.png	C:/Downloaded%20Web%20Sites/Worldscollide/WorldsCollide/whenworldscollide.my.canva.site/2d0b56e7e51cf11036ad8734bdb67e2d.png	(from https://whenworldscollide.my.canva.site/)
00:07:44	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2016%20Oct%202023%2022:07:45%20GMT	http://whenworldscollide.my.canva.site/725b756a69a7d4c235070e51acd85560.png	C:/Downloaded%20Web%20Sites/Worldscollide/WorldsCollide/whenworldscollide.my.canva.site/725b756a69a7d4c235070e51acd85560.png	(from https://whenworldscollide.my.canva.site/)
00:07:45	6245/6245	---M--	200	added ('OK')	image/png	date:Mon,%2016%20Oct%202023%2022:07:45%20GMT	https://whenworldscollide.my.canva.site/725b756a69a7d4c235070e51acd85560.png	C:/Downloaded%20Web%20Sites/Worldscollide/WorldsCollide/whenworldscollide.my.canva.site/725b756a69a7d4c235070e51acd85560.png	(from https://whenworldscollide.my.canva.site/)
00:07:45	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2016%20Oct%202023%2022:07:45%20GMT	http://whenworldscollide.my.canva.site/fonts/21fc3cdd550be8c20112ca8b2efcc762.woff2	C:/Downloaded%20Web%20Sites/Worldscollide/WorldsCollide/whenworldscollide.my.canva.site/fonts/21fc3cdd550be8c20112ca8b2efcc762.woff2	(from https://whenworldscollide.my.canva.site/)
00:07:45	351898/351898	---M--	200	added ('OK')	image/png	date:Mon,%2016%20Oct%202023%2022:07:45%20GMT	https://whenworldscollide.my.canva.site/d9c10cef8196ba413274bf18a56e6071.png	C:/Downloaded%20Web%20Sites/Worldscollide/WorldsCollide/whenworldscollide.my.canva.site/d9c10cef8196ba413274bf18a56e6071.png	(from https://whenworldscollide.my.canva.site/)
00:07:45	15300/15300	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2016%20Oct%202023%2022:07:46%20GMT	https://whenworldscollide.my.canva.site/fonts/21fc3cdd550be8c20112ca8b2efcc762.woff2	C:/Downloaded%20Web%20Sites/Worldscollide/WorldsCollide/whenworldscollide.my.canva.site/fonts/21fc3cdd550be8c20112ca8b2efcc762.woff2	(from https://whenworldscollide.my.canva.site/)
00:07:46	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2016%20Oct%202023%2022:07:46%20GMT	http://whenworldscollide.my.canva.site/fonts/36b396391257736f6f86496e2e6ac618.woff2	C:/Downloaded%20Web%20Sites/Worldscollide/WorldsCollide/whenworldscollide.my.canva.site/fonts/36b396391257736f6f86496e2e6ac618.woff2	(from https://whenworldscollide.my.canva.site/)
00:07:46	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2016%20Oct%202023%2022:07:47%20GMT	http://whenworldscollide.my.canva.site/fonts/d9b3839a329377a6d36909b72681aa1a.woff2	C:/Downloaded%20Web%20Sites/Worldscollide/WorldsCollide/whenworldscollide.my.canva.site/fonts/d9b3839a329377a6d36909b72681aa1a.woff2	(from https://whenworldscollide.my.canva.site/)
00:07:46	15480/15480	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2016%20Oct%202023%2022:07:47%20GMT	https://whenworldscollide.my.canva.site/fonts/36b396391257736f6f86496e2e6ac618.woff2	C:/Downloaded%20Web%20Sites/Worldscollide/WorldsCollide/whenworldscollide.my.canva.site/fonts/36b396391257736f6f86496e2e6ac618.woff2	(from https://whenworldscollide.my.canva.site/)
00:07:47	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2016%20Oct%202023%2022:07:47%20GMT	http://whenworldscollide.my.canva.site/fonts/31166b5b71ec501676b91fcd4a0c15b7.woff2	C:/Downloaded%20Web%20Sites/Worldscollide/WorldsCollide/whenworldscollide.my.canva.site/fonts/31166b5b71ec501676b91fcd4a0c15b7.woff2	(from https://whenworldscollide.my.canva.site/)
00:07:47	15224/15224	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2016%20Oct%202023%2022:07:47%20GMT	https://whenworldscollide.my.canva.site/fonts/d9b3839a329377a6d36909b72681aa1a.woff2	C:/Downloaded%20Web%20Sites/Worldscollide/WorldsCollide/whenworldscollide.my.canva.site/fonts/d9b3839a329377a6d36909b72681aa1a.woff2	(from https://whenworldscollide.my.canva.site/)
00:07:48	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2016%20Oct%202023%2022:07:48%20GMT	http://whenworldscollide.my.canva.site/fonts/80e6615d78e74dc4e030071b84f0de05.woff2	C:/Downloaded%20Web%20Sites/Worldscollide/WorldsCollide/whenworldscollide.my.canva.site/fonts/80e6615d78e74dc4e030071b84f0de05.woff2	(from https://whenworldscollide.my.canva.site/)
00:07:48	15196/15196	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2016%20Oct%202023%2022:07:48%20GMT	https://whenworldscollide.my.canva.site/fonts/31166b5b71ec501676b91fcd4a0c15b7.woff2	C:/Downloaded%20Web%20Sites/Worldscollide/WorldsCollide/whenworldscollide.my.canva.site/fonts/31166b5b71ec501676b91fcd4a0c15b7.woff2	(from https://whenworldscollide.my.canva.site/)
